14420.0751953125,-50743.1796875,것 
-28171.09375,-30196.255859375,서연 
2386.53466796875,48965.37109375,말 
-21532.671875,-42124.2578125,수 
-4767.69091796875,-12294.6220703125,사람 
10680.5810546875,45119.2421875,자신 
-3756.615234375,-75065.5703125,칼 
25430.025390625,-8054.6982421875,생각 
50049.29296875,13928.6220703125,안 
30585.087890625,32493.28125,고개 
-40611.44921875,11723.2978515625,공작 
-45471.24609375,-21422.796875,이 
48456.01171875,-23396.140625,입 
-33009.828125,69627.125,일 
14808.234375,36985.5859375,스테이 
40088.9921875,8273.6416015625,영지 
-48247.328125,16564.25390625,모습 
29709.935546875,-39727.11328125,대륙 
-24127.330078125,31763.9453125,기사 
-49326.52734375,41400.265625,때 
