word,ax,ay
검법,0.5262636542320251,-2.173837184906006
일정,0.038536932319402695,-1.222372055053711
탄로,0.07716117799282074,-1.3298135995864868
부축,0.055396150797605515,-0.9016502499580383
시인,0.17378535866737366,-1.4116346836090088
독문,0.339474081993103,-1.4422985315322876
동료,0.02251274883747101,-1.6488666534423828
저제,0.05570967495441437,-1.6140462160110474
종적,-0.18025165796279907,-0.33524662256240845
이중,0.038646336644887924,-0.8677799105644226
사물,-0.17620635032653809,-1.8613321781158447
초반,-0.040577929466962814,-1.4547210931777954
처리,-0.0367814376950264,-1.8561253547668457
오랫동안,0.06429176032543182,-1.0845835208892822
일전,0.3156701326370239,-1.0490806102752686
주름,0.10059823840856552,-1.3339486122131348
부분,0.18944953382015228,-1.7083535194396973
소유자,-0.12895917892456055,-0.41112905740737915
전자,0.42020294070243835,-1.2202513217926025
꼬리,-0.139008566737175,-1.6608381271362305
부부,0.2969885468482971,-1.6312644481658936
대파,0.23049893975257874,-1.2670968770980835
막내,0.03288649395108223,-1.8784185647964478
코웃음,0.20781151950359344,-0.9266957640647888
천하제일,-0.249088853597641,-2.0373826026916504
바지춤,0.051395583897829056,-1.341108798980713
타주,-0.22366172075271606,-1.9967982769012451
만큼,-0.22814160585403442,-1.7856775522232056
그리움,0.08590175956487656,-0.36780911684036255
잔악,0.36767348647117615,-1.4994659423828125
고서,-0.05075650289654732,-0.826123058795929
오랜만,0.051522545516490936,-1.5433125495910645
상당수,0.09433183073997498,-1.0593169927597046
이새끼,0.09933731704950333,-1.3637257814407349
시작,-0.09331805258989334,-1.6909065246582031
태양,0.09655236452817917,-0.8582098484039307
처지,0.07418244332075119,-1.0711562633514404
화가,0.2046150118112564,-1.8226580619812012
사모님,-0.10808726400136948,-1.7561874389648438
허공,0.3627670109272003,-1.801952600479126
기록,0.17732030153274536,-0.8445838093757629
병신,0.42397087812423706,-1.282809853553772
바지,0.1286727786064148,-1.1379764080047607
경악,0.16217386722564697,-1.8150599002838135
위용,0.015141157433390617,-1.3804749250411987
지수,0.2291547805070877,-1.8057864904403687
끈,0.02890034019947052,-0.9304702877998352
싸가지,-0.7192294001579285,-2.0314741134643555
만남,0.09406277537345886,-1.147445797920227
의견,0.12046828866004944,-1.0793207883834839
질서,0.35038885474205017,-1.3193011283874512
두목,-0.1989261358976364,-1.7884687185287476
기존,0.0632699653506279,-1.575743556022644
시장,-0.001359027810394764,-1.5160092115402222
방음,0.02339261770248413,-0.27449172735214233
차이,-0.10087379813194275,-2.0213065147399902
노승,-0.06704262644052505,-0.2024054229259491
형편,0.07889740914106369,-0.8930163979530334
끝,-0.10812123119831085,-1.7520906925201416
신의,0.1213916689157486,-1.2369019985198975
개중,-0.11683700233697891,-0.8411841988563538
재능,-0.11237406730651855,-1.3546665906906128
교도,0.13531073927879333,-0.8184160590171814
전적,0.276180624961853,-0.6126112341880798
눈싸움,0.04608109965920448,-0.41684576869010925
뒤통수,-0.03829072415828705,-0.25553783774375916
자영,0.11344660818576813,-2.165508270263672
부근,0.18567565083503723,-1.7069133520126343
운남,-0.06983700394630432,-2.030775547027588
격전,0.290260910987854,-1.7994754314422607
약화,0.41536834836006165,-0.9169507622718811
코피,-0.1533476710319519,-0.5029396414756775
듯이,-0.1683896780014038,-1.7613232135772705
신음,0.08750054240226746,-1.715591311454773
어젯밤,0.23451092839241028,-1.3754245042800903
만사,0.2710455060005188,-0.9107145071029663
비오,0.28477412462234497,-0.9606390595436096
자연,-0.14550229907035828,-1.9450072050094604
장난기,-0.005257880315184593,-0.3134322464466095
냉정,0.12374401837587357,-1.194618582725525
끼,0.33254730701446533,-1.178402304649353
마성,0.13003379106521606,-1.501934289932251
왕개,-1.1862953901290894,-2.0477378368377686
물거품,-0.06956169754266739,-0.43306964635849
노파,0.047992903739213943,-1.2589811086654663
배웅,0.0576011948287487,-0.4417475759983063
번개,0.6615143418312073,-1.6240298748016357
원구,0.04321270436048508,-0.905062735080719
심혈,0.041075676679611206,-1.7109745740890503
창피,0.23750366270542145,-1.4781363010406494
이름,-0.43928059935569763,-1.6542799472808838
천리,-0.18899193406105042,-1.6031074523925781
방장,-0.08144568651914597,-0.6613172292709351
습격,0.20084595680236816,-0.4685036838054657
태연,-0.06017586961388588,-1.6037123203277588
격려,-0.001638048910535872,-1.2732105255126953
인줄,-0.04448673501610756,-1.7963179349899292
설사약,-0.16304998099803925,-0.2098110020160675
나,0.2465813010931015,-0.5582237839698792
가게,0.14820736646652222,-1.8640140295028687
낙,0.09898637980222702,-2.0664329528808594
유대인,0.11768469214439392,-0.2770752012729645
말끝,0.267259806394577,-1.2025305032730103
난,0.12000246345996857,-1.6663141250610352
제압,0.07337956875562668,-1.743743896484375
날,-0.2676648497581482,-1.6623189449310303
각법,0.33945345878601074,-1.3289084434509277
왕거,0.20772428810596466,-1.8542100191116333
키,0.157560333609581,-1.7535408735275269
주먹,-0.20729726552963257,-1.7721049785614014
아부,0.0680856928229332,-1.3767987489700317
남,-0.18234720826148987,-1.6934913396835327
제때,0.25260448455810547,-0.33782514929771423
사,-0.2854779362678528,-1.725701093673706
시점,0.13021251559257507,-1.3568238019943237
삭,0.28542572259902954,-0.3987705707550049
참여,0.12798334658145905,-1.2574357986450195
경험,-0.47570109367370605,-1.9318004846572876
낮,0.15575872361660004,-1.8098396062850952
반말,-0.07081448286771774,-1.875747561454773
낯,-0.017097745090723038,-1.3889693021774292
삼매,-0.2124982476234436,-2.318851947784424
산,-0.300412654876709,-1.7836896181106567
시전,0.2124043107032776,-1.6279467344284058
살,0.16581706702709198,-1.7359440326690674
안보,-0.0374976322054863,-1.9900681972503662
내,-0.22137701511383057,-1.939801573753357
천마,0.6230383515357971,-1.5924575328826904
삶,-0.7096387147903442,-2.053011655807495
정오,0.07912251353263855,-1.1230430603027344
핏발,0.3220098614692688,-0.7837250232696533
열정,0.12308394908905029,-1.757663607597351
전력,0.41868332028388977,-1.311589002609253
잠자리,0.2898397147655487,-1.6195199489593506
나비,-0.16794414818286896,-1.1942150592803955
삼,-0.26765090227127075,-1.9332081079483032
가격,0.35945284366607666,-1.8344216346740723
유도,0.20508380234241486,-0.6554035544395447
의기양양,0.059669382870197296,-1.052685022354126
삽,-0.12821480631828308,-0.4831030070781708
천지,0.30421730875968933,-1.561078667640686
결의,0.3563676178455353,-1.7427703142166138
무한,0.014881466515362263,-1.5070674419403076
고통,0.24022482335567474,-1.653175950050354
타,0.048158422112464905,-1.8256069421768188
봉변,-0.10711873322725296,-0.08638977259397507
상,0.2315351366996765,-1.5447709560394287
탁,0.06522522121667862,-0.7805548310279846
등장,-0.04772143438458443,-1.726020097732544
배위,-0.0357135534286499,-0.4562802314758301
탄,0.4426170885562897,-1.3130083084106445
기준,0.23122632503509521,-1.3305063247680664
만석,0.012368148192763329,-0.73020339012146
새,0.15327194333076477,-1.6667492389678955
탈,0.11329184472560883,-1.2008329629898071
색,0.11548230797052383,-1.170457363128662
냉,0.07609668374061584,-0.8333967924118042
소생,0.08470692485570908,-0.45183825492858887
이마,-0.01696253940463066,-1.2748976945877075
장동,-0.149184912443161,-0.6052238941192627
냐,-0.17642363905906677,-1.8416013717651367
윗마을,0.4702041745185852,-1.682592749595642
명목,0.3237120509147644,-1.983689308166504
탓,-0.13076257705688477,-0.829329252243042
꼬락서니,0.34334754943847656,-0.9931820034980774
시련,0.1653171181678772,-1.4896050691604614
이지,0.18049035966396332,-0.18866325914859772
구사,0.14489716291427612,-1.6092567443847656
탕,0.23270076513290405,-0.8504750728607178
등잔,0.14084260165691376,-1.0695171356201172
