ax,ay,word
1601.4119873046875,2464.052734375,검법 
-5537.662109375,1058.436767578125,독물 
-1954.671142578125,-3149.0380859375,탄로 
57.20676040649414,494.7344970703125,부축 
0.006148473359644413,-0.020917901769280434,시인 
0.001806588377803564,0.13746240735054016,겸허 
-0.039052389562129974,-0.013289138674736023,동료 
-0.08451905101537704,0.007920297794044018,정양 
-0.030601417645812035,-0.018274877220392227,처리 
-0.020496465265750885,-0.03535422682762146,오랫동안 
-0.013948485255241394,-0.0276490468531847,막사 
951.38525390625,403.7366943359375,전임 
-4005.313232421875,626.5179443359375,코웃음 
513.309326171875,4358.9033203125,옥소 
0.00662680808454752,0.022508421912789345,천하제일 
0.1257665902376175,-0.018862737342715263,불경 
-0.013570656068623066,-0.0700034499168396,회안 
-0.07061389833688736,0.011485271155834198,일렬 
0.11836989223957062,-0.019339827820658684,력도 
0.08431675285100937,0.004956784192472696,처마 
1960.011474609375,-4675.91552734375,길이 
-502.58856201171875,-1333.7906494140625,불계 
-0.08638365566730499,0.09315172582864761,진노 
0.036820344626903534,0.024035662412643433,시작 
-0.024407044053077698,0.06535186618566513,한복판 
-0.08230886608362198,0.029011569917201996,백호 
0.09061870723962784,-0.022956838831305504,연제 
0.03322182223200798,-0.04743567854166031,화가 
0.09770630300045013,0.06670212000608444,병신 
0.08733417838811874,-0.00616441760212183,시일 
-36.71644592285156,195.9204864501953,목어 
-3415.61962890625,-961.9763793945312,대패 
-1358.81884765625,-2226.337890625,성문 
-288.83807373046875,2717.16259765625,기종 
-2993.94384765625,1984.851806640625,대덕 
-877.8563842773438,698.9757690429688,시장 
2624.703125,3272.98388671875,차이 
4119.39892578125,2421.599609375,노승 
1860.3017578125,-827.03857421875,악보 
0.02414955385029316,0.05859251320362091,형편 
7.837919984012842E-4,0.029419204220175743,주지 
-0.008700216189026833,0.07154783606529236,신의 
0.030627194792032242,-0.10449960827827454,질녀 
0.11704834550619125,0.030775457620620728,재능 
-0.0040911342948675156,0.02342691272497177,검보 
-2139.252197265625,555.3855590820312,비호 
-3412.6435546875,2967.278076171875,전적 
2041.9190673828125,2943.716796875,객주 
-4969.65185546875,2514.24462890625,부근 
286.4473571777344,-3806.42724609375,아녀자 
2507.169921875,-865.3216552734375,신음 
2148.22314453125,2503.811767578125,어젯밤 
-604.3157958984375,1576.241943359375,만사 
-0.12764330208301544,0.12474170327186584,장난기 
-0.061600230634212494,0.04205576702952385,분국 
2426.253662109375,-1661.973388671875,번개 
145.1380157470703,1142.05126953125,배후 
0.05958325043320656,-0.10005491971969604,의복 
0.022327439859509468,-0.07907972484827042,이름 
0.10949844121932983,-0.06966627389192581,천리 
-0.031239505857229233,-0.0038679102435708046,옥수 
0.02036406472325325,-0.009096774272620678,습격 
58.98610305786133,1480.2662353515625,코앞 
3666.0458984375,1496.3306884765625,불초 
3484.5712890625,4918.97412109375,가게 
3558.186279296875,1482.5850830078125,권법 
-3530.9306640625,1180.9495849609375,선제공격 
-0.05670449882745743,-0.053952913731336594,제압 
-0.029172541573643684,-0.06143977493047714,아부 
-330.8589782714844,606.3651123046875,소탈 
-5199.80322265625,2647.888671875,합주 
-3861.65869140625,1810.672119140625,사 
1174.392333984375,2276.40087890625,삭 
1067.4501953125,-559.5396728515625,경험 
2207.309326171875,-1030.8765869140625,산 
-5625.19189453125,-169.15017700195312,창안 
4218.91455078125,1805.9945068359375,무학 
1951.0814208984375,2578.886474609375,살 
-227.4087677001953,-1909.47412109375,시절 
4094.881103515625,-2710.8505859375,제안 
3205.768798828125,-3730.23681640625,삶 
1526.22509765625,912.3370971679688,정오 
36.71603012084961,3963.26025390625,초청 
-4131.2021484375,-3351.65283203125,신임 
-1357.2421875,-755.900146484375,삼 
-0.008975778706371784,0.04079820215702057,웃음거리 
33.69159698486328,247.16644287109375,무한 
-4006.63427734375,-1210.896728515625,고통 
2656.033447265625,-409.74627685546875,상 
-1277.55224609375,-3380.069580078125,도박 
-955.396240234375,-1092.2152099609375,새 
-0.08323417603969574,0.010116087272763252,색 
0.017021015286445618,-0.03754791244864464,부친 
1071.595703125,-1049.3890380859375,이마 
-1975.6173095703125,-2588.02587890625,위의 
2282.130126953125,2753.246337890625,칭송 
134.39706420898438,-1638.134521484375,대도 
3661.811279296875,-3599.758056640625,구사 
-1333.759033203125,4796.8037109375,손끝 
-1219.70263671875,1082.515380859375,땅굴 
-0.019132105633616447,0.043503448367118835,원수지간 
-501.6872863769531,891.4270629882812,생 
-1904.3125,2143.53173828125,불교 
0.07787736505270004,0.07452321797609329,저주 
0.06859152019023895,-0.05307777598500252,습관 
3324.631591796875,1024.4259033203125,불구 
-1849.4705810546875,-293.8280334472656,골탕 
-0.037492550909519196,0.0371384471654892,모욕 
-0.01630246266722679,-0.08688146620988846,한쪽 
2805.83935546875,-1547.0987548828125,비둘기 
3903.890869140625,-1775.5166015625,영웅 
-780.4944458007812,-4147.28955078125,아버지 
7334.68798828125,-8390.4892578125,장포 
3632.0693359375,4101.93994140625,성미 
-90.53375244140625,2658.7705078125,심부름 
1455.0667724609375,3317.63427734375,자유분방 
-1724.311767578125,-1436.828125,연주 
-0.01176157221198082,0.015582035295665264,서 
-0.0756971538066864,0.043617699295282364,석 
-2452.283203125,-1605.101318359375,안부 
389.9800109863281,2200.732666015625,소년 
-0.02420838177204132,0.046027373522520065,선 
884.4511108398438,859.5490112304688,설 
-2216.322509765625,527.98388671875,구석 
0.050287969410419464,0.1035768985748291,갈채 
0.030528824776411057,0.10459944605827332,적중 
-0.007956331595778465,0.04075954109430313,섬 
