ax,ay,word
-10.139236450195312,9.786134719848633,것 
-8.408880233764648,2.477762460708618,말 
2.402904987335205,5.8832292556762695,양정 
-3.533616304397583,7.954364776611328,수 
-2.6405162811279297,9.91539478302002,사람 
-1.5990068912506104,16.70029067993164,생각 
-0.6094737648963928,-4.7538299560546875,일 
-6.9343791007995605,-7.17946195602417,거지 
1.0481679439544678,-7.972777366638184,마음 
3.1908490657806396,6.978198051452637,때 
1.0176464319229126,-3.095388650894165,자신 
-5.761459827423096,0.4100677967071533,소리 
9.861665725708008,0.7280147671699524,때문 
-10.600809097290039,5.268326759338379,문 
-4.746367931365967,-4.176464080810547,정도 
-4.34059476852417,-8.475287437438965,몸 
2.4614593982696533,-2.922245740890503,자 
7.619038105010986,-3.6661674976348877,공 
4.2037458419799805,-2.55096697807312,번 
0.14322371780872345,3.077720880508423,무공 
0.12503640353679657,-7.773374557495117,채 
-5.6236348152160645,-4.502709865570068,모습 
1.2041479349136353,9.665776252746582,듯 
-0.6030141115188599,-6.8806304931640625,눈 
-8.840413093566895,1.6878718137741089,손 
6.363101005554199,-5.273475170135498,안 
2.7204947471618652,-7.502826690673828,악 
0.9195271134376526,-7.498897552490234,마 
-5.460269451141357,5.431445121765137,얼굴 
-0.5573415756225586,-3.0255484580993652,남궁 
8.896011352539062,1.5925254821777344,놈 
-9.183011054992676,-2.4674508571624756,앞 
1.8077315092086792,8.063013076782227,중 
4.146490573883057,-2.8778958320617676,명 
1.725422739982605,-8.214112281799316,지 
2.7480461597442627,8.566155433654785,후 
7.147026062011719,-4.82813024520874,겁 
-7.274885177612305,-5.836784839630127,노인 
5.924583435058594,2.545377016067505,개 
-2.1803863048553467,4.99440860748291,이제 
2.083487033843994,8.184293746948242,시간 
5.6819658279418945,-5.270033836364746,파 
-6.289815425872803,1.3039219379425049,자수 
-2.4676694869995117,-6.2282819747924805,곳 
6.422628879547119,-1.946624994277954,결 
2.038736343383789,-5.182684898376465,거 
-5.895052909851074,4.9414520263671875,힘 
2.477816104888916,-7.601868152618408,머리 
7.774916648864746,3.7406015396118164,도 
4.365274429321289,5.629476547241211,신 
-3.4586410522460938,3.9997217655181885,속 
-15.137612342834473,-3.222311019897461,뿐 
4.80398416519165,-2.4016401767730713,이야기 
6.7236528396606445,-6.278428077697754,사부 
-6.883290767669678,0.28152015805244446,주유 
7.635417461395264,2.663001775741577,음 
-5.535332679748535,-3.1244280338287354,고수 
-0.4993203580379486,-4.585251808166504,기 
7.388150691986084,-3.6973400115966797,을 
-1.3332847356796265,-2.006711006164551,운 
-5.265754222869873,-3.952336311340332,장 
3.9870219230651855,5.716338634490967,뒤 
4.4056267738342285,5.414538860321045,입 
-3.5047099590301514,-1.2161203622817993,하 
-5.344782829284668,-1.634135127067566,그때 
5.714237689971924,1.2469680309295654,사실 
-5.627482891082764,-1.798679232597351,호 
0.050403110682964325,-4.648151874542236,으 
-0.5866801142692566,-8.553839683532715,남해 
-6.027322292327881,-3.4163191318511963,개방 
-3.617109537124634,4.323715686798096,해경 
-1.0039386749267578,-6.666744709014893,길 
-2.684112787246704,5.836248397827148,오늘 
-5.834976673126221,1.7811274528503418,무림 
-4.364345073699951,3.897772789001465,상태 
5.510312080383301,-6.3187947273254395,상황 
6.185725688934326,1.5135880708694458,만 
7.943459510803223,3.8412861824035645,자리 
-8.966995239257812,0.378349244594574,표 
-4.428930759429932,-0.667620837688446,처음 
3.0448076725006104,-0.24707162380218506,데 
9.01255989074707,4.014599323272705,강 
8.208402633666992,1.7268017530441284,강호 
7.735379219055176,-4.462034702301025,왕 
-8.353593826293945,-0.972956120967865,녀석 
3.785743236541748,4.349731922149658,줄 
9.404136657714844,0.24479970335960388,이번 
-1.232872486114502,-9.82599925994873,리 
-7.911500453948975,4.043533802032471,날 
-4.515474319458008,-6.472840309143066,주 
2.5999321937561035,2.308026075363159,교 
-1.1276971101760864,10.025226593017578,밖 
7.78712797164917,6.602194786071777,여인 
2.0929691791534424,9.319395065307617,전 
4.765170097351074,8.764928817749023,옆 
-8.429349899291992,1.541030764579773,시작 
-3.776318311691284,-5.38913106918335,등 
4.2692155838012695,1.357092022895813,원래 
-3.3393383026123047,-1.3067103624343872,장로 
-6.314348220825195,7.675268650054932,게 
